Open,High,Low,Close,Volume,TradingDate
20563.0,20682.0,20405.0,20445.0,707200,2021-05-31
20405.0,20445.0,20247.0,20287.0,750100,2021-06-01
20326.0,21671.0,20168.0,21671.0,1603400,2021-06-02
21671.0,21710.0,21196.0,21354.0,1146200,2021-06-03
20959.0,21196.0,20919.0,21038.0,863700,2021-06-04
21038.0,21117.0,20840.0,21038.0,1276500,2021-06-07
21512.0,21750.0,21196.0,21433.0,1617100,2021-06-08
21433.0,21631.0,21354.0,21631.0,1021800,2021-06-09
21592.0,21592.0,21275.0,21354.0,648800,2021-06-10
21394.0,22541.0,20959.0,22541.0,1465900,2021-06-11
22699.0,22699.0,22066.0,22145.0,1260700,2021-06-14
22145.0,22382.0,22106.0,22185.0,872200,2021-06-15
22185.0,22224.0,21750.0,21789.0,1255600,2021-06-16
20642.0,21354.0,20642.0,21275.0,1447800,2021-06-17
21275.0,21671.0,21038.0,21433.0,1107900,2021-06-18
21354.0,22145.0,21196.0,21908.0,1281500,2021-06-21
22382.0,22382.0,21789.0,21789.0,1071800,2021-06-22
21789.0,21789.0,21433.0,21512.0,693800,2021-06-23
21512.0,21750.0,21354.0,21473.0,747300,2021-06-24
21512.0,21710.0,21473.0,21552.0,448900,2021-06-25
21789.0,21789.0,21433.0,21512.0,575800,2021-06-28
21512.0,21908.0,21433.0,21868.0,1026500,2021-06-29
21868.0,21868.0,21671.0,21829.0,573500,2021-06-30
21829.0,21868.0,21552.0,21829.0,504600,2021-07-01
21829.0,21829.0,21512.0,21671.0,532100,2021-07-02
21592.0,21671.0,21275.0,21354.0,717200,2021-07-05
21354.0,21394.0,20959.0,20959.0,702100,2021-07-06
20880.0,20959.0,20168.0,20603.0,725600,2021-07-07
20603.0,21117.0,20603.0,20801.0,457700,2021-07-08
20801.0,20801.0,20484.0,20642.0,539700,2021-07-09
20563.0,20642.0,19377.0,19693.0,871000,2021-07-12
19852.0,20405.0,19852.0,20207.0,388200,2021-07-13
20801.0,20959.0,20207.0,20326.0,398900,2021-07-14
20366.0,20563.0,20366.0,20524.0,241400,2021-07-15
20603.0,20603.0,20168.0,20168.0,457600,2021-07-16
19773.0,19852.0,18903.0,18982.0,810100,2021-07-19
19377.0,19417.0,19021.0,19377.0,358300,2021-07-20
19614.0,19891.0,19456.0,19773.0,268200,2021-07-21
19773.0,20010.0,19773.0,19931.0,264600,2021-07-22
19773.0,19773.0,19377.0,19377.0,668500,2021-07-23
18982.0,19377.0,18982.0,19021.0,652900,2021-07-26
19219.0,19219.0,19021.0,19100.0,784000,2021-07-27
18823.0,19061.0,18665.0,18823.0,1268800,2021-07-28
19800.0,20100.0,19800.0,20100.0,505600,2021-07-29
21500.0,21500.0,21500.0,21500.0,412300,2021-07-30
23000.0,23000.0,22000.0,22750.0,2559800,2021-08-02
22750.0,22800.0,22100.0,22250.0,787600,2021-08-03
22100.0,22250.0,21800.0,21800.0,946800,2021-08-04
21500.0,21750.0,21200.0,21650.0,1013400,2021-08-05
21700.0,21950.0,21600.0,21700.0,805600,2021-08-06
21600.0,21600.0,21250.0,21350.0,788200,2021-08-09
21350.0,21500.0,21300.0,21500.0,597000,2021-08-10
21500.0,22100.0,21400.0,21800.0,897600,2021-08-11
21600.0,21950.0,21600.0,21700.0,473500,2021-08-12
21800.0,21950.0,21500.0,21550.0,573600,2021-08-13
21500.0,21550.0,21300.0,21500.0,590000,2021-08-16
21500.0,21550.0,21400.0,21400.0,440200,2021-08-17
21400.0,21400.0,21200.0,21300.0,564100,2021-08-18
21200.0,21250.0,21100.0,21250.0,467300,2021-08-19
21150.0,21200.0,20800.0,20850.0,774300,2021-08-20
20850.0,20850.0,20500.0,20550.0,538100,2021-08-23
20400.0,20600.0,20250.0,20400.0,489100,2021-08-24
20500.0,21150.0,20450.0,21150.0,432700,2021-08-25
21300.0,21300.0,21100.0,21200.0,352800,2021-08-26
21200.0,21200.0,20900.0,21150.0,346200,2021-08-27
21200.0,21700.0,21150.0,21500.0,680000,2021-08-30
21450.0,21450.0,21000.0,21100.0,586800,2021-08-31
20700.0,21100.0,20600.0,20950.0,692200,2021-09-01
20950.0,21800.0,20950.0,21550.0,1082900,2021-09-06
21600.0,22200.0,21600.0,22100.0,1483900,2021-09-07
22500.0,22800.0,22000.0,22400.0,1438400,2021-09-08
22450.0,23950.0,22450.0,23950.0,2369400,2021-09-09
25400.0,25450.0,24600.0,25050.0,3492400,2021-09-10
25100.0,26800.0,25100.0,26800.0,3733800,2021-09-13
28600.0,28650.0,28550.0,28650.0,3343700,2021-09-14
30650.0,30650.0,26800.0,26800.0,5463200,2021-09-15
26100.0,26500.0,25300.0,25500.0,2737700,2021-09-16
25500.0,27250.0,25300.0,26750.0,1237300,2021-09-17
26750.0,26800.0,26050.0,26150.0,1535900,2021-09-20
25500.0,25800.0,25000.0,25400.0,1559800,2021-09-21
25700.0,26000.0,25500.0,25900.0,1005400,2021-09-22
26000.0,26000.0,25400.0,25600.0,909200,2021-09-23
25600.0,26200.0,25400.0,25900.0,910000,2021-09-24
26200.0,26300.0,25400.0,25550.0,1128100,2021-09-27
25700.0,25700.0,24500.0,25000.0,860100,2021-09-28
25000.0,25000.0,24300.0,24500.0,941200,2021-09-29
24500.0,25200.0,24500.0,25000.0,611200,2021-09-30
25000.0,25000.0,24500.0,24900.0,552200,2021-10-01
24950.0,26000.0,24900.0,25900.0,1019500,2021-10-04
26450.0,26500.0,25900.0,26200.0,801900,2021-10-05
26200.0,26300.0,25850.0,25900.0,768900,2021-10-06
26000.0,26100.0,25650.0,25950.0,714700,2021-10-07
26000.0,26200.0,25900.0,26100.0,867100,2021-10-08
26700.0,27500.0,26500.0,27000.0,1453400,2021-10-11
27100.0,27450.0,26500.0,26700.0,1112900,2021-10-12
26700.0,26900.0,26400.0,26450.0,636900,2021-10-13
26450.0,26550.0,26250.0,26300.0,757400,2021-10-14
26100.0,26300.0,26000.0,26050.0,1000600,2021-10-15
26050.0,26300.0,25600.0,25600.0,999000,2021-10-18
25600.0,25800.0,25450.0,25750.0,441800,2021-10-19
26200.0,26500.0,25700.0,25900.0,554500,2021-10-20
26000.0,26200.0,25800.0,25950.0,436200,2021-10-21
25900.0,26050.0,25850.0,25950.0,683200,2021-10-22
25900.0,25900.0,25400.0,25400.0,771800,2021-10-25
